name,cap_mw,none,latitude,longitude
ADITYA CEMENT WORKS,98,1,24.7663,74.609
AKALTARA TPP,1800,1,21.9603,82.4091
AKRIMOTA LIG,250,1,23.7689,68.6447
AMAR KANTAK,210,1,23.1642,81.6373
AMARAVATI TPP,1350,1,21.0782,77.9009
"ANAPARA ""C""",1200,1,24.2007,82.8
ANPARA,2630,1,24.201,82.7891
ANUPPUR,600,1,23.0666,81.7841
ANUPUR TPP,1200,1,23.0655,81.7865
AVANTHA BHANDAR TPP,600,1,21.7438,83.2741
AWARPUR CEMENT PLANT,46,1,19.7881,79.1518
BADARPUR,705,1,28.506,77.3066
BAKRESWAR,1050,1,23.8285,87.4513
BALLARPUR BILT POWER,67.5,1,19.8601,79.3421
BAMANIA CEMENT,10,1,24.6929,74.689
BANDAKHAR TPP,300,1,22.3421,82.4305
BANDEL,455,1,22.9956,88.4042
BANSWARA CEMENT,20,1,23.6026,74.2562
BARADARHA TPP,1200,1,21.9114,83.1889
BARAUNI,720,1,25.3999,86.0218
BARH STPP II,1320,1,25.4865,85.7452
BARKHERA TPP,90,1,28.4723,79.8066
BARSINGAR LIGNITE,250,1,27.8453,73.2
BELA NAGPUR,270,1,20.805,79.0547
BELLARY HOTHUR,10,1,15.1831,76.7909
BELLARY JANKI,18,1,15.1777,77.1036
BELLARY TPS,1700,1,15.1932,76.7195
BHADRAVATI MILL,41,1,13.8274,75.7131
BHANDARA STEEL MILL,15,1,21.232,79.6311
BHAVNAGAR TPP,500,1,21.5837,72.2222
BHIGWAN MILL,30,1,18.2416,74.7529
BHILAI TPP,500,1,21.184,81.4237
BHUSAWAL,1210,1,21.0483,75.8425
BINA REFINERY,99,1,24.2508,78.1606
BINA TPP,500,1,23.3172,78.1336
BINANI CEMENT PLANT,69.6,1,24.8263,73.0901
BINJKOTE,600,1,22.0103,83.2058
BOKARO A ''EXP'',500,1,23.6783,86.0888
BOKARO B,210,1,23.785,85.88
BONGAIGAON TPP,500,1,26.5145,90.5287
BUDGE BUDGE,750,1,22.4673,88.14
BUTIBORI TPP -II,600,1,20.9286,78.9333
CHAKABURA TPP,60,1,22.3932,82.5532
CHANDA CEMENT WORKS,40,1,19.9213,79.1133
CHANDERIA CEMENT WORKS,35,1,24.9293,74.6367
CHANDERIA SMELTER,234,1,24.9637,74.6656
CHANDRAPUR GUPTA,120,1,19.93,79.1346
CHANDRAPUR MANIKGHAR,10,1,19.7218,79.1757
CHANDRAPUR_Coal,2920,1,20.0063,79.29
CHANDRAPURA,630,1,23.7376,86.1273
CHHABRA TPS,1660,1,24.6217,77.0357
D.P.L.,660,1,23.5211,87.3023
DADRI (NCTPP),1820,1,28.603,77.6078
DAHANU FRESNEL,100,1,26.7803,72.0091
DAMODARAM SANJEEVAIAH,1600,1,14.3444,80.1264
DANAPUR BMM,25,1,15.1707,76.377
DERANG,1200,1,21.1238,84.9843
DHANU,500,1,19.9545,72.7478
DHARIWAL INF TPP,600,1,20.0102,79.2033
DURG SPONGE IRON,12.8,1,21.1878,81.2099
DURGAPUR,210,1,23.531,87.25
DURGAPUR STEEL TPS,1000,1,23.58,87.2043
FARAKKA STPS,2100,1,24.772,87.894
GANDHI NAGAR,630,1,25.2502,72.6765
GEPL,120,1,19.9324,79.104
GHTP (LEH.MOH.),920,1,30.2666,75.1661
GHUGUS LMEL,30,1,19.9306,79.12
GMR WARORA TPP,600,1,20.2723,78.9793
GNDTP(BHATINDA),440,1,30.2335,74.9247
GOINDWAL SAHIB TPP,540,1,31.3841,75.1464
GRACE INDUSTRIES,25,1,20.0058,79.1845
GULBARGA CEMENT,55,1,17.1084,77.1325
H_GANJ B,605,1,28.0179,78.1326
HALDIA,600,1,22.1042,88.1764
I.B.VALLEY,420,1,21.6872,83.86
IEPL  BELA TPP,270,1,20.8102,79.0556
IND BARATH TPP,350,1,21.658,83.92
INDIA POWER TPP(HALDIA  HIRANMAYE ),300,1,22.0774,88.0995
INDRA GANDHI STPP,1500,1,28.4849,76.3754
