name,cap_mw,none,latitude,longitude
ALIYAR,60,1,10.4547,77.0078
ALLAIN DUHANGAN,192,1,32.2258,77.207
ALMATTI DAM,290,1,16.33,75.8863
ANANDPUR SAHIB ST-I&II,134,1,31.2717,76.4938
ANDHRA,16.95,1,31.2412,77.8769
BAGLIHAR HEP,450,1,33.1815,75.3155
BAIRA SIUL,180,1,32.8063,76.1418
BALIMELA,510,1,18.1396,82.1221
BANER,12,1,32.1686,76.4695
BANSAGAR (I),315,1,24.1917,81.2875
BANSAGAR (II),30,1,24.1917,81.2875
BANSAGAR (III),60,1,24.1917,81.2875
BANSAGAR (IV),20,1,24.223,81.2747
BARGI,90,1,22.9417,79.925
BASPA,300,1,31.4306,78.241
BASSI,64,1,31.9546,76.7986
BHADRA,39.2,1,13.7008,75.6373
BHAKRA,1325,1,31.4107,76.4328
BHANDARDHARA,34,1,19.5555,73.8087
BHATGARH,16,1,18.1012,73.7252
BHATSA,15,1,19.5132,73.4173
BHAWANI KATTALAI BARRAGE,30,1,11.3842,77.7145
BHAWANI KATTALAI -II,30,1,11.331,77.758
BHAWANI KATTALAI -III,30,1,11.2428,77.8659
BHIRA,300,1,18.455,73.3907
BHIRA TAIL RACE,80,1,18.4426,73.3498
BHIVPURI,75,1,18.9368,73.4527
BINWA,6,1,32.1121,76.6537
BIRSINGHPUR,20,1,23.3256,81.0333
BUDHIL,70,1,32.4584,76.532
CHAMERA II,300,1,32.4734,76.2552
CHAMERA-I,540,1,32.5966,75.9857
CHAMERA-III,231,1,32.4733,76.44
CHANJU-I,36,1,32.7369,76.2477
CHEMBUKADAVU-II,3.75,1,11.4645,76.0376
CHENANI I to III,32.8,1,32.9578,75.1705
CHIBRO (YAMUNA),240,1,30.5559,77.7915
CHILLA,144,1,29.976,78.2203
CHUTAK,44,1,34.4903,76.1137
CHUZACHEN,110,1,27.2093,88.6659
DEHAR,990,1,31.4133,76.8686
DHAKRANI,33.75,1,30.4561,77.7368
DHALIPUR,51,1,30.4354,77.6821
DHAULI GANGA,280,1,29.8783,80.5727
DIKCHU,96,1,27.4028,88.5247
DONKARAYI,25,1,17.8994,81.8296
DOYANG,75,1,26.2325,94.2612
DUDH GANGA,24,1,16.3537,74.0095
DULHASTI,390,1,33.3691,75.7985
ELDARI,22.5,1,19.7197,76.733
GAJ,10.5,1,32.2417,76.2787
GANDHARBAL,15,1,34.2236,74.7781
GANDHI SAGAR,115,1,24.6997,75.5529
GANGUWAL,77.65,1,31.268,76.492
GHANVI,22.5,1,31.5425,77.7786
GHAT PRABHA,32,1,16.1424,74.6447
GHATGHAR PSS,250,1,19.5334,73.6509
GIRI BATA,60,1,30.5307,77.4968
GUMTI,15,1,23.4263,91.8223
HAMPI,36,1,15.2615,76.3379
HASDEOBANGO,120,1,22.604,82.5977
HIRAKUD I&II,331.5,1,21.5337,83.8754
IDAMALAYAR,75,1,10.207,76.7137
IDUKKI,780,1,9.8503,77.0555
INDIRA SAGAR,1000,1,22.2791,76.4728
J.SAGAR,99,1,25.0369,75.6778
JALDHAKA I&II,36,1,27.0297,88.8747
JOG,139.2,1,14.2273,74.7994
JORETHANG LOOP,96,1,27.1598,88.2924
KADAMPARI,400,1,10.4104,77.0435
KADANA,240,1,23.3045,73.8254
KADRA,150,1,14.8901,74.3916
KAKKAD,50,1,9.3275,76.9717
KALINADI,855,1,15.2761,74.5268
KALINADI SUPA,100,1,15.2761,74.5268
KALLADA,15,1,8.9553,77.0697
KANHER,4,1,17.7384,73.917
KARBI LANGPI,100,1,25.9552,92.5171
KARCHAM WANGTOO,1000,1,31.5156,78.1073
KARGIL,3.75,1,34.5605,76.1299
KHADAVASLA I&II,16,1,18.3803,73.6116
KHANDONG,50,1,25.5177,92.6679
KHARA,72,1,30.3508,77.6017
KHATIMA,41.4,1,28.9232,80.0243
KHODRI,120,1,30.5085,77.8001
KHOPOLI,72,1,18.7817,73.3558
KISHENGANGA,330,1,34.649,74.7514
KODASALI,120,1,14.955,74.5904
KODAYAR-I&II,100,1,8.5319,77.3125
KOLDAM,800,1,31.382,76.8761
KOPILI,225,1,25.5177,92.6679
KOSI,20,1,26.497,86.9549
KOTESHWAR,400,1,30.2594,78.4971
KOTLA,77.65,1,31.268,76.492
KOYNA COMPLEX,1956,1,17.4599,73.684
KULHAL,30,1,30.4289,77.6296
KUNDAH I-V,555,1,11.2861,76.6511
KUTHUNGAL,21,1,9.9356,77.1068
KUTTIADI,125,1,11.5484,75.8988
KUTTIYADI Add ext,100,1,11.5484,75.8988
KYREDEMKULAI,60,1,25.7848,91.7895
LARGI,126,1,31.7196,77.212
LIGANAMAKKI,55,1,14.1704,74.8388
LOKTAK,105,1,24.587,93.6696
LOWER JHELUM,105,1,34.2189,74.5281
LOWER JURALA,240,1,16.3125,77.7773
LOWER METTUR,120,1,11.6425,77.7583
LOWER PERIYAR,180,1,9.9624,76.957
LOWER SILERU,460,1,17.8608,81.6814
MACHKUND,114.75,1,18.5323,82.4645
MADHAVAMANTRI,4.5,1,12.2135,77.0225
MADHIKHEDA,60,1,25.5623,77.8348
MAHI BAJAJ I&II,140,1,23.5443,74.5062
MAITHON,63.2,1,23.7872,86.8284
MALANA,186,1,32.0041,77.2494
MALLARPUR,9,1,15.3773,76.4591
