name,cap_mw,none,latitude,longitude
ACME Solar Tower,2.5,1,28.1839,73.2407
Amarsar Solar Power Plant,1,1,28.3615,74.2402
Ananthapur - Meil Solar Power Plant,50,1,14.9455,77.687
Askandra - DREPL Solar Power Plant,5,1,27.3473,71.6917
Askandra - Electromech Maritech Solar Power Plant,5,1,27.36,71.6918
Askandra - Finehope Solar Power Plant,5,1,27.3632,71.6918
Askandra - Khaya Solar Power Plant,5,1,27.3661,71.6916
Askandra - Newton Solar Power Plant,5,1,27.3537,71.6917
Askandra - Saidham Solar Power Plant,5,1,27.3504,71.6918
Askandra - Vasavi Solar Power Plant,5,1,27.3566,71.6917
Bamani Solar Power Plant,1,1,18.0791,76.1807
Bamanwali Solar Power Plant,1,1,28.3683,73.5286
Bap - GIS 1-2 Solar Power Plant,15,1,27.3827,72.3188
Bap - GIS 3 Solar Power Plant,10,1,27.3893,72.3134
Bap - OPG Solar Power Plant,5,1,27.3525,72.3554
Bap - Punj Lloyd Solar Power Plant,5,1,27.3851,72.3042
Bapodar - Hiraco Solar Power Plant,20,1,21.5967,69.843
Bapodar - MBEDL Solar Power Plant,15,1,21.6024,69.8441
Bavadi Barsingha - Giriraj Solar Power Plant,36.3,1,27.4387,72.3245
Bavadi Barsingha - LEPL Solar Power Plant,10,1,27.4523,72.3388
Bhadrada Solar Power Plant,5,1,23.6688,71.5782
Bhatkota Solar Power Plant,3,1,23.5594,73.286
Bitta Solar Power Plant,40,1,23.2579,69.0255
Boha Solar Power Plant,4.2,1,29.8504,75.49
Bonada Solar Power Plant,1,1,26.5249,71.5212
Chandrapur Solar Power Plant,5,1,20.0209,79.2712
Charanka Solar Power Plant,221,1,23.907,71.1881
Chingerbandh Solar Power Plant,5,1,20.6729,83.1107
Dadri Solar Power Plant,5,1,28.5787,77.6314
Deh Solar Power Plant,2,1,27.9253,72.8899
Dhabla Sondhya Solar Power Plant,28.2,1,23.8267,75.8988
Dhanera Solar Power Plant,25,1,24.5216,72.1999
Dhank - Aravali Solar Power Plant,5,1,21.7766,70.0773
Dhursar,125,1,26.7846,72.0083
Diwakar,100,1,27.7355,71.6917
Dugar Solar Power Plant,1,1,26.2776,72.651
Gadna 1 Solar Power Plant,3,1,27.4269,72.3896
Gadna 2 Solar Power Plant,5,1,27.4296,72.3969
Gandhinagar Solar Power Plant,1,1,23.1534,72.669
Garacharma Solar Power Plant,5,1,11.6117,92.7109
Godawari,50,1,27.6003,72.2241
Godelai Solar Power Plant,1,1,26.6532,72.5377
Gondri Solar Power Plant,5,1,18.3055,76.6551
Grewal Solar Power Plant,1.8,1,30.4613,74.6188
Gulabpura Solar Power Plant,5,1,25.86,74.6567
Gwal Pahari Solar Power Plant,3,1,28.4272,77.1596
Horti Solar Power Plant,20,1,17.9054,76.3224
Isanpur Solar Power Plant,1,1,22.4809,72.5235
Itnal Solar Power Plant,3,1,16.4018,74.6641
Jafrabad Solar Power Plant,15,1,20.8772,71.2801
Jamuria Solar Power Plant,2,1,23.7162,87.0695
Kamuthi Solar Power Plant,648,1,9.3381,78.3917
Karmaria Solar Power Plant,15,1,23.35,70.388
Kathauti 1 Solar Power Plant,5,1,27.224,74.2524
Kathauti 2 Solar Power Plant,40,1,27.2089,74.2553
Katol - Citra Solar Power Plant,2,1,21.317,78.6025
Katol - Sepset Solar Power Plant,2,1,21.3174,78.6001
Khadoda Solar Power Plant,10,1,23.443,73.2014
Khandala Solar Power Plant,5.2,1,18.6051,75.0381
Khetusar - Northern Solar Power Plant,20,1,27.3225,71.9951
Khetusar - Suryauday Solar Power Plant,10,1,27.3247,71.991
Khilchipur Solar Power Plant,25,1,24.0682,76.589
Khirsara - Unity Solar Power Plant,5,1,23.3578,70.0548
Khirsara - Welspun Solar Power Plant,15,1,23.3618,70.0536
Khirwa Solar Power Plant,1,1,27.301,72.3236
Komal West Solar Power Plant,1,1,11.0118,79.5898
Lakhewali Solar Power Plant,2.1,1,30.4368,74.3316
Lakhmirwala Solar Power Plant,20,1,29.8509,75.4023
Lallian Kalan Solar Power Plant,1,1,31.2496,75.4826
Lathi Solar Power Plant,1,1,27.0321,71.5322
Mandrup - Giriraj Solar Power Plant,6.6,1,17.4999,75.781
Mirpur Kalan - Alianz Eco Solar Power Plant,2.1,1,29.7303,75.3099
Mirpur Kalan - Nexgen Solux Solar Power Plant,1,1,29.7311,75.308
Mithapur Solar Power Plant,17,1,22.4077,68.9925
Mulshi Solar Power Plant,3,1,18.4921,73.5081
Muradwala Dal Singh Solar Power Plant,21,1,29.7303,75.3099
Naini Solar Power Plant,5.8,1,25.3723,81.8717
Nokh - GGEL Solar Power Plant,50,1,27.6007,72.2242
Nokh - Precision Technik Solar Power Plant,5,1,27.5728,72.206
Nokha Daiya Solar Power Plant,5,1,28.1371,72.9661
Panandhro Solar Power Plant,5,1,23.6788,68.7653
Patodi Solar Power Plant,1,1,26.0748,72.2677
Phagi Solar Power Plant,1,1,26.5653,75.5622
Pokhran FVE Solar Power Plant,40,1,26.8022,72.0078
Pokhran THE Solar Power Plant,100,1,26.7874,72.0099
Pratapgarh Solar Power Plant,9,1,23.3682,70.7432
Precious Solar Power Plant,15.2,1,23.9151,71.9424
Punjawa - Sikh Wala Solar Power Plant,19,1,30.0208,74.546
Rajgarh - NTPC Solar Power Plant,50,1,23.9637,76.719
Rajgarh - Ujaas Solar Power Plant,16.5,1,23.9796,76.7329
Raksa Solar Power Plant,2,1,25.4106,78.4805
Ram Tirath Jaga Solar Power Plant,10,1,29.9619,75.1631
Ramagundam Solar Power Plant,10,1,18.764,79.4873
Rapar Khokhara Solar Power Plant,5,1,23.2592,70.0097
Rasulpur Solar Power Plant,1,1,27.9363,75.679
Ravra - IOC Solar Power Plant,5,1,27.4108,72.2164
Ravra - NWEPL Solar Power Plant,5,1,27.4118,72.2127
Ravra - SEI Solar Power Plant,5,1,27.4092,72.2193
Ravra - Welspun Solar Power Plant,50,1,27.4137,72.1577
Rojhani Solar Power Plant,30.5,1,23.7025,75.9246
Sadeipali - ASPL Solar Power Plant,5,1,20.731,83.4538
Sadeipali - REHPL Solar Power Plant,1,1,20.7325,83.4632
Sakri 1A Solar Power Plant,100,1,21.0726,74.3862
Sakri 1B Solar Power Plant,25,1,21.0864,74.3529
Sangatpura Solar Power Plant,10,1,29.9611,75.7767
Shiloj Solar Power Plant,10,1,20.8183,71.0063
Shirsoli Solar Power Plant,8.5,1,17.4999,75.781
Shivasamundra Solar Power Plant,5,1,12.3003,77.1638
Shivlakha - Backbone Solar Power Plant,5,1,23.3585,70.6206
Shivlakha - CPEC Solar Power Plant,5,1,23.383,70.6146
Shivlakha - Konark Solar Power Plant,5,1,23.3654,70.6268
Singrauli Solar Power Plant,15,1,24.1185,82.6415
